prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlPartitionFrom,prlNPDIDPartitionFrom,prlAdditAreaTo,prlNPDIDAdditAreaTo,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
617,TFO2011,North sea,INACTIVE,NO,03.02.2012,29.12.2021,112,0,,21561629,,,,,https://factpages.sodir.no/licence/pageview/all/21561629,,31.01.2025,31.01.2025,09.09.2025
618,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2018,606,0,,21561689,,,,,https://factpages.sodir.no/licence/pageview/all/21561689,,31.01.2025,31.01.2025,09.09.2025
619,TFO2011,North sea,INACTIVE,NO,03.02.2012,31.05.2015,336,0,,21560040,,,,,https://factpages.sodir.no/licence/pageview/all/21560040,,31.01.2025,31.01.2025,09.09.2025
620,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2015,296,0,,21560115,,,,,https://factpages.sodir.no/licence/pageview/all/21560115,,31.01.2025,31.01.2025,09.09.2025
621,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2013,28,0,,21560157,,,,,https://factpages.sodir.no/licence/pageview/all/21560157,,31.01.2025,31.01.2025,09.09.2025
622,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2015,388,0,,21560182,,,,,https://factpages.sodir.no/licence/pageview/all/21560182,,31.01.2025,31.01.2025,09.09.2025
623,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.08.2014,145,0,,21560239,,,,,https://factpages.sodir.no/licence/pageview/all/21560239,,31.01.2025,31.01.2025,09.09.2025
624,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2014,522,0,,21560318,,,,,https://factpages.sodir.no/licence/pageview/all/21560318,,31.01.2025,31.01.2025,09.09.2025
625,TFO2011,North sea,INACTIVE,NO,03.02.2012,09.02.2017,30,0,,21560380,,,,,https://factpages.sodir.no/licence/pageview/all/21560380,,31.01.2025,31.01.2025,09.09.2025
626,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2019,202,0,,21560418,,,,,https://factpages.sodir.no/licence/pageview/all/21560418,,31.01.2025,31.01.2025,09.09.2025
627,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2018,459,0,,21560469,,,,,https://factpages.sodir.no/licence/pageview/all/21560469,,31.01.2025,07.05.2025,09.09.2025
627 B,TFO2014,North sea,INACTIVE,NO,06.02.2015,03.02.2018,12,0,,25611723,,,627,21560469,https://factpages.sodir.no/licence/pageview/all/25611723,,31.01.2025,31.01.2025,09.09.2025
628,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2015,632,0,,21560616,,,,,https://factpages.sodir.no/licence/pageview/all/21560616,,31.01.2025,31.01.2025,09.09.2025
629,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2015,85,0,,21560683,,,,,https://factpages.sodir.no/licence/pageview/all/21560683,,31.01.2025,31.01.2025,09.09.2025
630,TFO2011,North sea,ACTIVE,NO,03.02.2012,03.02.2042,318,18,PRODUCTION,21560745,,,,,https://factpages.sodir.no/licence/pageview/all/21560745,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=21560745,31.01.2025,07.05.2025,09.09.2025
630 BS,TFO2016,North sea,INACTIVE,YES OR PARTLY,10.02.2017,01.01.2021,13,0,,28941890,,,630,21560745,https://factpages.sodir.no/licence/pageview/all/28941890,,31.01.2025,31.01.2025,09.09.2025
630 CS,TFO2022,North sea,INACTIVE,YES OR PARTLY,17.02.2023,16.02.2025,45,0,,38723955,,,630,21560745,https://factpages.sodir.no/licence/pageview/all/38723955,,05.07.2025,18.02.2025,09.09.2025
631,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2016,148,0,,21560844,,,,,https://factpages.sodir.no/licence/pageview/all/21560844,,31.01.2025,31.01.2025,09.09.2025
632,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.03.2015,85,0,,21560912,,,,,https://factpages.sodir.no/licence/pageview/all/21560912,,31.01.2025,31.01.2025,09.09.2025
633,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.06.2015,1049,0,,21560982,,,,,https://factpages.sodir.no/licence/pageview/all/21560982,,31.01.2025,31.01.2025,09.09.2025
634,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2014,377,0,,21561057,,,,,https://factpages.sodir.no/licence/pageview/all/21561057,,31.01.2025,31.01.2025,09.09.2025
635,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2015,359,0,,21561115,,,,,https://factpages.sodir.no/licence/pageview/all/21561115,,31.01.2025,31.01.2025,09.09.2025
636,TFO2011,North sea,ACTIVE,NO,03.02.2012,22.02.2044,455,175,PRODUCTION,21561151,,,,,https://factpages.sodir.no/licence/pageview/all/21561151,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=21561151,31.01.2025,27.08.2025,09.09.2025
636 B,TFO2018,North sea,ACTIVE,NO,01.03.2019,22.02.2044,46,25,PRODUCTION,34042043,,,636,21561151,https://factpages.sodir.no/licence/pageview/all/34042043,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=34042043,31.01.2025,27.08.2025,09.09.2025
636 C,TFO2019,North sea,ACTIVE,NO,14.02.2020,22.02.2044,2,2,PRODUCTION,36463792,,,636,21561151,https://factpages.sodir.no/licence/pageview/all/36463792,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=36463792,31.01.2025,31.01.2025,09.09.2025
636 D,TFO2024,North sea,ACTIVE,NO,14.03.2025,14.03.2032,73,73,INITIAL,38724080,,,636,21561151,https://factpages.sodir.no/licence/pageview/all/38724080,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=38724080,29.05.2025,29.05.2025,09.09.2025
637,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.08.2014,423,0,,21561194,,,,,https://factpages.sodir.no/licence/pageview/all/21561194,,31.01.2025,07.05.2025,09.09.2025
637 B,TFO2013,North sea,INACTIVE,NO,07.02.2014,03.08.2014,54,0,,24214540,,,637,21561194,https://factpages.sodir.no/licence/pageview/all/24214540,,31.01.2025,31.01.2025,09.09.2025
638,TFO2011,North sea,INACTIVE,NO,03.02.2012,03.02.2017,598,0,,21561239,,,,,https://factpages.sodir.no/licence/pageview/all/21561239,,31.01.2025,31.01.2025,09.09.2025
639,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2015,603,0,,21559426,,,,,https://factpages.sodir.no/licence/pageview/all/21559426,,31.01.2025,16.04.2025,09.09.2025
640,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2017,1260,0,,21559488,,,,,https://factpages.sodir.no/licence/pageview/all/21559488,,31.01.2025,16.04.2025,09.09.2025
641,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2015,574,0,,21559540,,,,,https://factpages.sodir.no/licence/pageview/all/21559540,,31.01.2025,16.04.2025,09.09.2025
642,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.08.2016,428,0,,21559610,,,,,https://factpages.sodir.no/licence/pageview/all/21559610,,31.01.2025,16.04.2025,09.09.2025
643,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.05.2016,407,0,,21561387,,,,,https://factpages.sodir.no/licence/pageview/all/21561387,,31.01.2025,16.04.2025,09.09.2025
644,TFO2011,Norwegian sea,ACTIVE,NO,03.02.2012,31.12.2043,275,62,PRODUCTION EXTENDED,21559648,,,,,https://factpages.sodir.no/licence/pageview/all/21559648,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=21559648,31.01.2025,07.05.2025,09.09.2025
644 B,TFO2015,Norwegian sea,ACTIVE,NO,05.02.2016,31.12.2043,28,12,PRODUCTION,27434494,,,644,21559648,https://factpages.sodir.no/licence/pageview/all/27434494,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=27434494,04.02.2025,16.04.2025,09.09.2025
644 C,TFO2018,Norwegian sea,ACTIVE,NO,01.03.2019,31.12.2025,22,1,INITIAL EXTENDED,34042073,,,644,21559648,https://factpages.sodir.no/licence/pageview/all/34042073,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=34042073,04.02.2025,16.04.2025,09.09.2025
644 D,TFO2023,Norwegian sea,ACTIVE,NO,15.03.2024,15.03.2025,6,6,,38723994,,,644,21559648,https://factpages.sodir.no/licence/pageview/all/38723994,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=38723994,10.04.2025,31.01.2025,09.09.2025
645,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.08.2015,152,0,,21559709,,,,,https://factpages.sodir.no/licence/pageview/all/21559709,,31.01.2025,16.04.2025,09.09.2025
646,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2015,69,0,,21559761,,,,,https://factpages.sodir.no/licence/pageview/all/21559761,,31.01.2025,16.04.2025,09.09.2025
647,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2014,231,0,,21559805,,,,,https://factpages.sodir.no/licence/pageview/all/21559805,,31.01.2025,16.04.2025,09.09.2025
648 S,TFO2011,Norwegian sea,INACTIVE,YES OR PARTLY,03.02.2012,03.11.2014,384,0,,21559877,,,,,https://factpages.sodir.no/licence/pageview/all/21559877,,31.01.2025,16.04.2025,09.09.2025
649,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2014,1033,0,,21559950,,,,,https://factpages.sodir.no/licence/pageview/all/21559950,,31.01.2025,16.04.2025,09.09.2025
650,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2017,140,0,,21559201,,,,,https://factpages.sodir.no/licence/pageview/all/21559201,,31.01.2025,16.04.2025,09.09.2025
651,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2017,1339,0,,21559146,,,,,https://factpages.sodir.no/licence/pageview/all/21559146,,31.01.2025,16.04.2025,09.09.2025
652,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2013,33,0,,21559103,,,,,https://factpages.sodir.no/licence/pageview/all/21559103,,31.01.2025,16.04.2025,09.09.2025
653,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,08.02.2017,407,0,,21559076,,,,,https://factpages.sodir.no/licence/pageview/all/21559076,,31.01.2025,16.04.2025,09.09.2025
654,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2014,133,0,,21559027,,,,,https://factpages.sodir.no/licence/pageview/all/21559027,,31.01.2025,16.04.2025,09.09.2025
655,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.10.2016,346,0,,21558998,,,,,https://factpages.sodir.no/licence/pageview/all/21558998,,31.01.2025,16.04.2025,09.09.2025
656,TFO2011,Norwegian sea,INACTIVE,NO,03.02.2012,03.02.2016,1146,0,,21558940,,,,,https://factpages.sodir.no/licence/pageview/all/21558940,,31.01.2025,16.04.2025,09.09.2025
657,TFO2011,Barents sea,INACTIVE,NO,03.02.2012,03.02.2015,432,0,,21558872,,,,,https://factpages.sodir.no/licence/pageview/all/21558872,,31.01.2025,16.04.2025,09.09.2025
658,TFO2011,Barents sea,INACTIVE,NO,03.02.2012,03.05.2015,809,0,,21558820,,,,,https://factpages.sodir.no/licence/pageview/all/21558820,,31.01.2025,07.05.2025,09.09.2025
658 B,TFO2013,Barents sea,INACTIVE,NO,07.02.2014,03.05.2015,200,0,,24214928,,,658,21558820,https://factpages.sodir.no/licence/pageview/all/24214928,,31.01.2025,16.04.2025,09.09.2025
659,TFO2011,Barents sea,INACTIVE,NO,03.02.2012,03.02.2019,1464,0,,21558636,,,,,https://factpages.sodir.no/licence/pageview/all/21558636,,31.01.2025,16.04.2025,09.09.2025
660,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.07.2016,59,0,,22815555,,,,,https://factpages.sodir.no/licence/pageview/all/22815555,,31.01.2025,31.01.2025,09.09.2025
661,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.02.2015,224,0,,22815589,,,,,https://factpages.sodir.no/licence/pageview/all/22815589,,31.01.2025,31.01.2025,09.09.2025
662,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.02.2018,17,0,,22815632,,,,,https://factpages.sodir.no/licence/pageview/all/22815632,,31.01.2025,31.01.2025,09.09.2025
663,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.02.2016,194,0,,22815661,,,,,https://factpages.sodir.no/licence/pageview/all/22815661,,31.01.2025,31.01.2025,09.09.2025
664 S,TFO2012,North sea,INACTIVE,YES OR PARTLY,08.02.2013,08.02.2015,596,0,,22815702,,,,,https://factpages.sodir.no/licence/pageview/all/22815702,,31.01.2025,31.01.2025,09.09.2025
665 S,TFO2012,North sea,INACTIVE,YES OR PARTLY,08.02.2013,08.02.2016,751,0,,22815738,,,,,https://factpages.sodir.no/licence/pageview/all/22815738,,31.01.2025,31.01.2025,09.09.2025
666,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.06.2015,308,0,,22815785,,,,,https://factpages.sodir.no/licence/pageview/all/22815785,,31.01.2025,31.01.2025,09.09.2025
667,TFO2012,North sea,INACTIVE,NO,08.02.2013,31.05.2015,119,0,,22815830,,,,,https://factpages.sodir.no/licence/pageview/all/22815830,,31.01.2025,31.01.2025,09.09.2025
